row_id,trigger,target,specification
1861,entering a place of worship,wearing headwear,remove headwear
1862,entering a place of worship,wearing head coverings,remove any hat or headpiece
1863,entering a place of worship,headwear,remove headwear before entering
1864,unexpected guests at mealtime,how to handle guests,invite them to share the meal
1865,visiting friends or family,when to visit,visit without prior notice during leisure times
1866,spontaneous visit,when to visit friends,visit friends for conversation
1867,serving others,order of serving,serve others before oneself
1868,after a meal,requesting second helpings,do not request second helpings
1869,offering and receiving gifts,how to present the gift,use two hands to show respect and gratitude
1870,during a meal,how to behave with food,finish all food on your plate
1871,attending professional or social engagements,timeliness,arrive on time to show respect
1872,interacting with household animals,behavior regulation,dictate their actions as a sign of respect
1873,visiting someone's home,bringing a gift,bring a high-quality gift
1874,after a meal,duration of conversation,stay for extended conversations
1875,attending social gatherings,bringing a gift,it is okay to not bring a gift
1876,sitting in a gathering,where to sit,sit freely but avoid reserved spots
1877,eating with others,which hand to use,use your right hand
1878,,,
1879,sharing a meal,how to eat,use right hand from closest side
1880,being invited to a home,what to bring,bring a small gift as gratitude
1881,receiving a gift in tonga,when to open the gift,wait until later to open it
1882,visiting someone's home,what to bring,"bring a small, reflective gift"
1883,yawning in social setting,covering mouth,cover your mouth when yawning
1884,casual meet-ups,arrival time,arrive 15 to 30 minutes late
1885,receiving a social invitation,response time,follow up promptly and communicate clearly if unable to meet
1886,before attending a gathering,bringing a contribution,ask the host if they want you to bring something
1887,before attending a gathering,bringing a contribution,ask the host if needed
1888,receiving a gift,giving a thank-you gift,give about half the value
1889,being a guest,behavior in the host's environment,blend in with customary practices
1890,being offered additional servings,response to the offer,accept graciously
1891,visiting someone's home for the first time,type of gift,bring a thoughtful gift
1892,receiving a large gift,sharing with family,share the gift with family members
1893,giving flowers as a gift,number of flowers,avoid giving an even number
1894,recycling or reusing materials,waste management,recycle or reuse whenever possible
1895,any situation involving materials,waste management,recycle or reuse materials and minimise waste
1896,conversing in samoa,emily's actions,bring oneself down to seated level
1897,giving flowers,type and number of flowers,use an odd number and avoid yellow flowers or carnations
1898,receiving a gift,when to open the gift,open gifts in front of the giver
1899,receiving a gift,showing gratitude,accept the gift and demonstrate appreciation through actions
1900,after the meal,thanking the host,personally thank the host directly
1901,after the meal,thanking the host,personally thank the host directly
1902,after the meal,thanking the host,personally thank the host directly
1903,giving a gift,type of gift,give practical and thoughtful gifts
1904,,,
1905,visiting someone in peru,greeting upon arrival,focus on engaging in conversation instead
1906,someone of higher status or an elder enters the room,how to behave,stand up
1907,someone of higher status or elder enters the room,how to respond,stand up to show respect
1908,someone of higher status enters the room,how to respond,stand up to show respect
1909,during a meal,expressing gratitude and indicating fullness,place hand over heart and thank the host
1910,after a meal,duration of stay,stay for extended conversation
1911,declining more food,how to show politeness,place hand over heart and express gratitude
1912,serving oneself at a meal,initial portion size,take a small portion first
1913,dining in groups,payment behavior,pay only for what you ordered
1914,serving oneself at a meal,portion size,take a small initial portion
1915,giving flowers as a gift,number of flowers,ensure the number of flowers is odd
1916,planning a visit,how to request a tour,arrange visits ahead of time
1917,giving or receiving items,which hand to use,use right hand or both hands
